round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s,horizon,age,progress,race_laps,n_recent,spread,last_minus_median,median3_minus_last,median8_minus_last,slope,slope_h,kalman_minus_last,kalman_trend,kalman_h,last_delta,field_delta,soft,medium,hard,pace_scale,innovation,median5_minus_last,mean3_minus_last,mean8_minus_last,field_relative,field_spread,trend_change,history_span,position,track_temp_c,air_temp_c,track_temp_change_c,weather_missing,rainfall,humidity_pct,wind_speed_ms,traffic_close,traffic_near,traffic_gap_s,traffic_missing,traffic_change,thermal_age,traffic_age,field_laps_log,target_lap,segment,compound,current_s,stint_pace_loss,stint_relative_loss,anchor_age,anchor_span,anchor_traffic_change,anchor_traffic_missing,mean@0,mean@5,mean@15,ridge_age@0,ridge_age@5,ridge_age@15,ridge_state@0,ridge_state@5,ridge_state@15,ridge_environment@0,ridge_environment@5,ridge_environment@15,huber@0,huber@5,huber@15,forest@0,forest@5,forest@15,extra@0,extra@5,extra@15,ridge_anchor@0,ridge_anchor@5,ridge_anchor@15,forest_anchor@0,forest_anchor@5,forest_anchor@15,extra_anchor@0,extra_anchor@5,extra_anchor@15,selected_s,target_name
12,BOR,10,6061.59,6470.732,6470.732,SOFT>MEDIUM,MEDIUM,11,2,1.0156666666666467,-0.3426666666666591,1.3583333333333059,"OCO,ALB,ALO,LIN,GAS",5,,,0.13599999999998147,0.9978903333333333,0.234463,78.96333333333332,77.94766666666668,1,11.0,0.1388888888888889,72,5,0.22399999999998954,0.06300000000000239,-0.06300000000000239,-0.06300000000000239,-0.10624999999999218,-0.10624999999999218,-0.13768957854976804,-0.03375251983486479,-0.03375251983486479,0.28699999999999193,0.16199999999999193,1,0,0,79.08,0.26224715440548607,-0.06300000000000239,-0.11666666666667425,0.10660000000000025,0.41499999999999204,0.5299999999999869,0.07249748016512739,4.0,13.0,35.0,19.2,-0.8999999999999986,0,0,57.6,1.7,0.993671,1.0,0.447923,0,-0.006329000000000029,0.0,0.43721524,5.2832037287379885,11,4,SOFT,79.08,0.0,0.0,10.0,1.0,0.0,0,1.4908583959899755,1.4908583959899755,1.4908583959899755,1.4037744702460573,1.4037744702460573,1.4037744702460573,1.1370169267047505,1.1370169267047505,1.1370169267047505,0.5498452440769059,0.5498452440769059,0.5498452440769059,0.024946049349942934,0.024946049349942934,0.024946049349942934,1.145879689575978,1.145879689575978,1.145879689575978,1.1209644970853934,1.1209644970853934,1.1209644970853934,0.6118038020522042,0.6118038020522042,0.6118038020522042,1.0798202450619223,1.0798202450619223,1.0798202450619223,0.9369338794633377,0.9369338794633377,0.9369338794633377,0.9369338794633377,relative_step_s
12,STR,14,6381.364,6794.609,6794.609,SOFT>HARD,HARD,12,2,0.5866666666666731,0.09600000000000364,0.49066666666666947,"ALB,SAI,ALO,LIN,COL",5,0.10566666666669278,0.3849999999999767,0.07099999999998374,0.117959,0.06544100000000001,79.36166666666666,78.77499999999999,1,12.0,0.19444444444444445,72,8,0.10799999999999699,0.0,0.0,-0.04949999999999477,-0.007333333333335191,-0.007333333333335191,-0.00038254771595802595,-0.022609367596497572,-0.022609367596497572,-0.40099999999999625,0.03999999999999204,1,0,0,79.291,0.0006583830622020059,0.0,0.07066666666666777,0.03700000000000614,0.23850000000000193,0.5859999999999914,-0.015276034263162382,7.0,14.0,33.7,19.1,-1.1999999999999957,0,0,59.5,0.8,0.0,0.632911,2.189453,0,-0.04375,-0.6239999999999987,0.0,5.627621113690637,15,4,SOFT,79.291,0.12699999999999534,-0.14783333333333343,7.0,5.0,-0.5208306666666667,0,1.4908583959899755,1.4908583959899755,1.4908583959899755,1.4477526902598437,1.4477526902598437,1.4477526902598437,1.267194114830609,1.267194114830609,1.267194114830609,1.2724367808254904,1.2724367808254904,1.2724367808254904,0.8805920498073845,0.8805920498073845,0.8805920498073845,1.2401825182846875,1.2401825182846875,1.2401825182846875,1.366019098369666,1.366019098369666,1.366019098369666,1.1546751651017826,1.1546751651017826,1.1546751651017826,1.1940079720693182,1.1940079720693182,1.1940079720693182,1.2878552700012753,1.2878552700012753,1.2878552700012753,1.2878552700012753,relative_step_s
12,OCO,15,6457.424,6874.532,6874.532,SOFT>HARD,HARD,16,2,-0.2539999999999907,0.06666666666666288,-0.32066666666665355,"LIN,ALB,SAI,ALO,COL",5,-0.010000000000019327,-0.31066666666663423,0.05933333333332769,0.5503146666666666,0.552902,79.30300000000001,79.557,1,16.0,0.20833333333333334,72,8,0.13649999999999807,-0.01300000000000523,0.01300000000000523,-0.04949999999999477,0.06325000000000003,0.06325000000000003,0.03410614931314626,0.02351352582220718,0.02351352582220718,-0.01300000000000523,0.04099999999999682,1,0,0,79.244,-0.05711420481844698,0.01300000000000523,0.05900000000001171,-0.09262499999999818,0.24899999999999523,0.7944999999999993,-0.039736474177792844,7.0,12.0,35.2,19.3,1.5,0,0,58.5,1.5,0.522013,1.0,0.953811,0,0.02201299999999995,0.1280000000000018,0.33408832,5.69035945432406,16,4,SOFT,79.244,0.35266666666667845,4.718447854656915e-15,10.0,6.0,-0.21550800000000003,0,1.4908583959899755,1.4908583959899755,1.4908583959899755,1.5070226441025825,1.5070226441025825,1.5070226441025825,1.3832028234057463,1.3832028234057463,1.3832028234057463,0.7494239804700416,0.7494239804700416,0.7494239804700416,0.3180127946108011,0.3180127946108011,0.3180127946108011,1.1750372625090084,1.1750372625090084,1.1750372625090084,1.2752105319348392,1.2752105319348392,1.2752105319348392,0.6467390597277658,0.6467390597277658,0.6467390597277658,1.1611930929475154,1.1611930929475154,1.1611930929475154,1.2408998719537523,1.2408998719537523,1.2408998719537523,1.2408998719537523,relative_step_s
12,RUS,16,6512.608,6957.451,6957.451,MEDIUM>HARD,HARD,16,2,1.2576666666666654,0.1043333333333436,1.1533333333333218,"HAM,ALB,LIN,SAI,ALO",5,-0.06200000000001182,1.2153333333333336,0.052333333333351106,0.021505333333333335,0.021929666666666667,77.68966666666667,76.432,1,16.0,0.2222222222222222,72,8,0.16049999999999187,0.0350000000000108,0.0,-0.17799999999999727,0.09408928571428708,0.09408928571428708,-0.014526729794582138,0.036638319600141134,0.036638319600141134,-0.13599999999999568,0.057999999999992724,0,1,0,77.656,0.023791495498699078,-0.0350000000000108,0.03366666666666163,-0.20050000000000523,-1.3419999999999987,1.031000000000006,-0.05745096611414595,7.0,4.0,36.1,19.2,1.3000000000000043,0,0,58.6,1.3,0.0,0.554839,2.364235,0,0.0,0.704000000000001,0.0,5.730099782973574,17,4,MEDIUM,77.656,0.4749999999999943,0.19066666666666277,9.0,7.0,-0.35873466666666665,0,1.4908583959899755,1.4687708855471973,1.4825755795739337,1.3767941145221572,1.3692205917033653,1.3739540434651103,1.1713742082653422,1.2082602760367682,1.185206483679627,0.8485784750037357,0.9833264898798024,0.8991089805822607,0.39928980403751635,0.6215210180347435,0.48262650928647655,0.8932435452200596,0.9286524858462809,0.9065218979548926,1.1067821669496825,1.1463436396576678,1.121617719215177,0.9081764407382273,1.0325980292850776,0.9548345364432962,0.9589088749816504,1.0053277230268811,0.9763159429986119,1.1273330992673471,1.1975663415790085,1.15367056513422,1.15367056513422,relative_step_s
12,GAS,17,6606.811,7054.249,7054.249,MEDIUM>HARD,HARD,18,2,0.24833333333334906,0.11966666666667436,0.1286666666666747,"LIN,ALB,ALO,SAI,BOR",5,-0.10133333333334349,0.2300000000000182,0.08166666666667766,0.0,0.7750406666666666,78.91933333333334,78.67099999999999,1,18.0,0.2361111111111111,72,8,0.19550000000000267,0.1280000000000001,0.0,-0.24200000000000443,0.05991666666666854,0.05991666666666854,-0.05838011623244199,0.039967251713153636,0.039967251713153636,0.1280000000000001,0.04099999999999682,0,1,0,78.944,0.09396622551544453,-0.1280000000000001,-0.024666666666661285,-0.20999999999999375,0.0,0.8220000000000027,-0.019949414953514905,7.0,8.0,36.3,19.2,0.19999999999999574,0,0,58.6,0.7,0.0,0.0,7.43392,0,0.0,0.935999999999998,0.0,5.805134968916488,18,4,MEDIUM,78.944,0.41533333333335065,0.12250000000000229,10.0,8.0,-0.061570999999999994,0,1.4908583959899755,1.4687708855471973,1.4825755795739337,1.4064290914435267,1.3988555686247348,1.4035890203864798,1.4183931299940529,1.4552791977654786,1.4322254054083376,1.2678870152553883,1.402635030131455,1.3184175208339133,1.0024545452153864,1.2246857592126135,1.0857912504643465,1.333218993869774,1.3686279344959953,1.346497346604607,1.351470588234236,1.3910320609422213,1.3663061404997305,1.0744063978642409,1.1988279864110911,1.1210644935693097,1.2782199561625367,1.3246388042077673,1.2956270241794983,1.3000345505624469,1.3702677928741083,1.3263720164293198,1.3263720164293198,relative_step_s
12,PIA,17,6587.595,7054.249,7054.249,HARD>HARD,HARD,15,2,1.1583333333333314,0.11966666666667436,1.038666666666657,"HAM,LIN,ALB,ALO,SAI",5,0.11566666666665526,0.9230000000000018,0.06199999999999761,0.0,0.6697196666666666,77.47099999999999,76.31266666666666,1,15.0,0.2361111111111111,72,8,0.11049999999999471,0.023000000000010346,0.0,-0.15050000000000807,0.02850000000000108,0.02850000000000108,-0.01779544460352156,0.03174670857419846,0.03174670857419846,-0.04099999999999682,-0.09449999999999648,0,0,1,77.465,0.028642813147271795,-0.023000000000010346,0.0059999999999860165,-0.12999999999999545,-1.4089999999999918,1.0075000000000003,0.003246708574197378,7.0,3.0,36.3,19.2,0.19999999999999574,0,0,58.6,0.7,0.0,0.0,4.991074,0,0.0,0.7799999999999983,0.0,5.7899601708972535,18,4,HARD,77.465,0.2603333333333211,0.026166666666663785,7.0,8.0,0.0,0,1.4908583959899755,1.4687708855471973,1.4825755795739337,1.9938177885951318,1.98624426577634,1.990977717538085,1.5278072163593006,1.5646932841307266,1.5416394917735854,1.3447205273490044,1.479468542225071,1.3952510329275294,1.053701348709825,1.2759325627070521,1.1370380539587852,0.9176987767925681,0.9531077174187894,0.9309771295274011,1.908512523277985,1.9480739959859703,1.9233480755434795,1.102071993648396,1.2264935821952463,1.1487300893534649,0.9276857235119363,0.9741045715571669,0.9450927915288978,1.7868581687216654,1.8570914110333268,1.8131956345885383,1.8131956345885383,relative_step_s
12,TSU,17,6611.143,7054.249,7054.249,SOFT>HARD,HARD,15,2,0.6586666666666616,0.11966666666667436,0.5389999999999873,"ALB,LIN,ALO,SAI,HAM",5,-0.07699999999999818,0.6159999999999854,0.06199999999999761,0.0,0.006369333333333334,78.93733333333333,78.27866666666667,1,15.0,0.2361111111111111,72,8,0.16499999999999915,-0.31400000000000716,0.2670000000000101,0.19700000000000273,0.0537083333333328,0.0537083333333328,0.19208120253505,0.003023156420668884,0.003023156420668884,-0.37000000000000455,0.04099999999999682,1,0,0,78.725,-0.30916597566920245,0.31400000000000716,0.21233333333333348,0.15462500000001,-0.20700000000000784,0.8340000000000032,-0.050685176912663915,7.0,10.0,36.3,19.2,0.19999999999999574,0,0,58.6,0.7,0.0,0.356688,2.842693,0,0.0,0.7799999999999983,0.0,5.811140992976701,18,4,SOFT,78.725,0.16866666666665253,-0.16450000000000387,7.0,8.0,-0.26794566666666664,0,1.4908583959899755,1.4687708855471973,1.4825755795739337,1.4922051556418976,1.4846316328231057,1.4893650845848507,1.2270309509199377,1.2639170186913637,1.2408632263342225,1.0467397591737453,1.181487774049812,1.0972702647522703,0.6203449441815816,0.8425761581788087,0.7036816494305418,0.9673476383468769,1.0027565789730981,0.9806259910817099,1.3429468663896178,1.3825083390976032,1.3577824186551124,0.8000844183170178,0.9245060068638681,0.8467425140220867,0.880061784260797,0.9264806323060275,0.8974688522777584,1.2100997923263437,1.280333034638005,1.2364372581932166,1.2364372581932166,relative_step_s
12,HUL,18,6687.226,7132.495,7132.495,SOFT>SOFT,SOFT,19,2,-0.25133333333333496,-0.1729999999999876,-0.07833333333334735,"ALB,LIN,SAI,BOR,ALO",5,0.1353333333333353,-0.21366666666668266,0.08166666666669187,0.310933,0.9957806666666666,78.76466666666667,79.016,1,19.0,0.25,72,8,0.23050000000001347,0.33500000000000796,-0.3960000000000008,-0.36549999999999727,0.03575000000000135,0.03575000000000135,-0.17429123358505194,0.01970462426210846,0.01970462426210846,0.3960000000000008,-0.014500000000005286,1,0,0,79.061,0.2768594148219421,-0.33500000000000796,-0.29633333333333667,-0.23387500000001182,0.11700000000000443,0.38700000000000045,-0.01604537573789289,7.0,8.0,37.3,19.5,1.0,0,1,58.1,1.1,0.550633,1.0,0.895632,0,0.28311700000000006,1.7479999999999978,0.41848108000000006,5.863631175598097,19,4,SOFT,79.061,0.16466666666666185,-0.10616666666666673,10.0,9.0,-0.05556433333333327,0,1.4908583959899755,1.4687708855471973,1.4825755795739337,1.0336187115860311,1.0260451887672393,1.0307786405289843,0.6920538419943926,0.7289399097658185,0.7058861174086772,0.215185787284482,0.3499338021605487,0.265716292863007,0.1453837805233842,0.3676149945206113,0.22872048577234438,1.2855823874971772,1.3209913281233985,1.2988607402320103,0.6304322609521738,0.6699937336601591,0.6452678132176682,0.10322106283627108,0.22764265138312134,0.14987915854133993,1.2788053223497637,1.3252241703949943,1.2962123903667253,0.6129885319390438,0.6832217742507052,0.6393259978059168,0.6393259978059168,relative_step_s
12,ANT,20,6812.883,7287.437,7287.437,MEDIUM>HARD,HARD,20,2,1.3910000000000053,-0.3506666666666547,1.74166666666666,"LIN,ALO,ALB,SAI,STR",5,-0.3823333333333352,2.1239999999999952,0.09199999999998454,0.0,0.0,77.46233333333333,76.07133333333333,1,20.0,0.2777777777777778,72,8,0.10949999999999704,0.23499999999999943,-0.15900000000000603,-0.27250000000000796,0.07658571428571373,0.07658571428571373,-0.06194653840968556,0.0744500094677138,0.0744500094677138,0.15900000000000603,0.15900000000000603,0,1,0,77.601,0.09676762324909305,-0.23499999999999943,-0.1386666666666656,-0.3100000000000023,-1.397500000000008,0.9074999999999989,-0.002135704817999934,7.0,1.0,38.0,19.5,0.7000000000000028,0,0,55.6,0.7,0.0,0.0,18.405993,0,0.0,2.4,0.0,5.953243334287785,21,4,MEDIUM,77.601,0.7710000000000008,0.6078333333333226,9.0,11.0,0.0,0,1.4908583959899755,1.3290417114214075,1.4242279964617417,1.436064068364896,1.2928459025783352,1.3770918824527827,1.2647649254327764,1.185449062356293,1.2321054524012833,1.0508260032021208,1.0546428567874893,1.052397648796096,0.6404472810692937,0.7752275526182434,0.6959450399423907,1.1024362788016697,1.0257131062501426,1.070844384221629,1.1697783002811355,1.078637786644695,1.13224985348966,1.0600534260037664,1.0718421449817648,1.0649076044064716,1.3094675038124313,1.248777758507965,1.2844776086870626,1.3948632313642693,1.3411790671550352,1.3727579872781142,1.3727579872781142,relative_step_s
12,COL,20,6873.082,7287.437,7287.437,MEDIUM>HARD,HARD,18,2,2.715666666666678,-0.25866666666667015,2.974333333333348,"PER,BOT,SAI,LIN,ALO",5,-0.9226666666666716,3.89700000000002,0.09199999999998454,0.890269,0.0,80.44500000000001,77.72933333333333,1,18.0,0.2777777777777778,72,8,0.30100000000000904,0.0,-0.13300000000000978,-0.26200000000001467,0.1939761904761901,0.1939761904761901,0.06788404663330994,0.13626177232854791,0.13626177232854791,0.13300000000000978,0.054999999999999716,0,1,0,80.641,-0.11117870386168249,0.0,-0.19599999999999795,-0.44137500000000784,1.9040000000000106,0.6749999999999972,-0.057714418147642194,7.0,18.0,38.2,19.5,0.4000000000000057,0,0,56.3,0.9,0.968944,1.0,0.456765,0,0.024845000000000006,2.304000000000002,0.6976396800000001,5.996452088619021,21,5,MEDIUM,80.641,1.0206666666666706,1.0940000000000036,11.0,7.0,0.598652,0,1.4908583959899755,1.3290417114214075,1.4242279964617417,1.4064290914435267,1.263210925656966,1.3474569055314134,1.7513294740070342,1.6720136109305508,1.7186700009755411,1.137643770851331,1.1414606244366994,1.139215416445306,1.3113696399274102,1.4461499114763599,1.3668673988005071,1.7198412202992723,1.6431180477477452,1.6882493257192317,1.5428780478408892,1.4517375342044487,1.5053496010494136,0.9597576282024243,0.9715463471804227,0.9646118066051295,2.0247793138961936,1.9640895685917272,1.999789418770825,1.7459246220252347,1.6922404578160006,1.7238193779390796,1.7238193779390796,relative_step_s
12,LAW,20,6834.993,7287.437,7287.437,SOFT>MEDIUM,MEDIUM,18,2,1.403333333333336,-0.3506666666666547,1.7539999999999907,"ALO,LIN,ALB,SAI,STR",5,-0.7670000000000101,2.521000000000001,0.09199999999998454,0.004232666666666667,0.3018996666666666,78.829,77.42566666666666,1,18.0,0.2777777777777778,72,8,0.3819999999999908,0.0,0.01300000000000523,-0.3754999999999882,0.14374999999999857,0.14374999999999857,0.028953324177933837,0.09159196823517166,0.09159196823517166,-0.26300000000000523,0.15900000000000603,1,0,0,78.737,-0.045228424990099825,0.0,0.09199999999999875,-0.32450000000000045,-0.194500000000005,0.7974999999999994,-0.05215803176482692,7.0,5.0,38.0,19.5,0.20000000000000284,0,0,55.6,0.7,0.0,0.0,9.616457,0,-0.006329,2.16,0.0,5.963579343618446,21,5,SOFT,78.737,1.103999999999985,0.9394999999999906,7.0,11.0,-0.03232633333333333,0,1.4908583959899755,1.3290417114214075,1.4242279964617417,1.5074968894708503,1.3642787236842895,1.448524703558737,1.401244154683413,1.3219282916069295,1.3685846816519198,1.2488796501229582,1.2526965037083266,1.2504512957169334,0.8487163070780148,0.9834965786269645,0.9042140659511118,1.4807500033888632,1.404026830837336,1.4491581088088226,1.2406964154799467,1.1495559018435062,1.203167968688471,1.3724778706894776,1.384266589667476,1.3773320490921828,1.7605721473601341,1.6998824020556678,1.7355822522347655,1.5228505798322192,1.4691664156229851,1.500745335746064,1.500745335746064,relative_step_s
12,LEC,20,6823.06,7287.437,7287.437,SOFT>MEDIUM,MEDIUM,18,2,1.5660000000000167,-0.3506666666666547,1.9166666666666714,"LIN,ALO,ALB,SAI,STR",5,0.6316666666666606,1.2850000000000108,0.09199999999998454,0.006451666666666667,0.0,77.39966666666668,75.83366666666666,1,18.0,0.2777777777777778,72,8,0.18200000000000216,0.0,0.0,0.039500000000003865,-0.004150000000000631,-0.004150000000000631,0.08818626446975486,0.0044985618187224664,0.0044985618187224664,-0.07899999999999352,0.15900000000000603,1,0,0,77.435,-0.13775709563489613,0.0,-0.03533333333332678,0.10174999999999557,-1.5635000000000048,0.7974999999999994,0.008648561818723097,7.0,3.0,38.0,19.5,0.20000000000000284,0,0,55.6,0.7,0.0,0.0,7.785254,0,-0.012903,2.16,0.0,5.958424693029782,21,4,SOFT,77.435,0.2220000000000084,0.0588333333333253,7.0,11.0,-0.980575,0,1.4908583959899755,1.3290417114214075,1.4242279964617417,1.5074968894708503,1.3642787236842895,1.448524703558737,0.9627013985211643,0.8833855354446809,0.9300419254896711,0.8123272636080481,0.8161441171934165,0.8138989092020233,0.23215308012375924,0.3669333516727089,0.2876508389968562,0.7636774070239316,0.6869542344724044,0.732085512443891,0.9989721790104529,0.9078316653740123,0.9614437322189774,1.1736973943147226,1.185486113292721,1.1785515727174278,0.8363151125696702,0.7756253672652037,0.8113252174443016,0.9444175861679378,0.8907334219587039,0.9223123420817827,0.9223123420817827,relative_step_s
12,NOR,20,6815.18,7287.437,7287.437,SOFT>HARD,HARD,21,2,1.4639999999999986,-0.3506666666666547,1.8146666666666533,"LIN,ALO,ALB,SAI,STR",5,-0.43166666666667197,2.2463333333333253,0.09199999999998454,0.06897166666666667,0.18601666666666664,77.59033333333333,76.12633333333333,1,21.0,0.2777777777777778,72,8,0.1355000000000075,0.3790000000000049,-0.3130000000000024,-0.4934999999999974,0.08116666666666697,0.08116666666666697,-0.17793629890293516,0.07666613567048673,0.07666613567048673,0.3130000000000024,0.20400000000000773,1,0,0,77.821,0.27795697994780255,-0.3790000000000049,-0.23066666666666436,-0.46162499999999795,-1.177500000000009,0.7974999999999994,-0.004500530996180238,7.0,2.0,38.0,19.5,0.7000000000000028,0,0,55.6,0.7,0.025641,0.730769,2.066214,0,-0.058230000000000004,2.52,0.02153844,5.955837369464831,21,4,SOFT,77.821,0.820999999999998,0.6578333333333244,10.0,11.0,-0.5969453333333333,0,1.4908583959899755,1.3290417114214075,1.4242279964617417,1.577500548199534,1.4342823824129731,1.5185283622874206,1.3304100047071707,1.2510941416306873,1.2977505316756777,1.0838239345502458,1.0876407881356143,1.085395580144221,0.554254701179181,0.6890349727281306,0.6097524600522779,1.1183240452988519,1.0416008727473247,1.0867321507188112,1.2495016997846213,1.1583611861481808,1.2119732529931457,1.3864217811120945,1.3982105000900928,1.3912759595147997,1.3361049340861615,1.2754151887816951,1.3111150389607928,1.4578394740047886,1.4041553097955546,1.4357342299186335,1.4357342299186335,relative_step_s
12,HAM,24,7135.403,7617.105,7617.105,SOFT>HARD,HARD,25,2,1.9906666666666553,-0.7649999999999864,2.7556666666666416,"PIA,BOR,TSU,RUS,LIN",5,0.12366666666666504,2.6319999999999766,0.35300000000002285,0.006451666666666667,0.0,77.678,75.68733333333334,1,25.0,0.3333333333333333,72,8,0.12049999999999272,-0.006000000000000227,0.0,0.0030000000000001137,0.01008333333333174,0.01008333333333174,0.007804642950105745,0.01732331029370511,0.01732331029370511,-0.1559999999999917,0.32500000000000284,1,0,0,77.715,-0.012046597069229392,0.006000000000000227,-0.03700000000000614,-0.06212500000000887,-1.399499999999989,0.8900000000000006,0.00723997696037337,7.0,1.0,36.1,19.3,0.3999999999999986,0,0,57.1,0.9,0.0,0.374194,2.916271,0,0.0,1.1000000000000014,0.0,6.142037405587356,25,4,SOFT,77.715,0.4129999999999967,0.15349999999999397,10.0,15.0,-0.48392666666666667,0,1.4908583959899755,0.9049198958935764,1.1596757655007064,1.6223323492163852,1.0568132723140304,1.3026911318367933,1.2457637443073835,0.821578625399113,1.0060069379679262,1.0133273774566856,0.7837003849357488,0.8835382077709386,0.43048156965248197,0.42009244274715835,0.42460945444512516,0.8125897218775489,0.45501094145989385,0.6104799764240917,1.118649836283083,0.6730596927040846,0.8667945377384318,1.0756024579735122,0.9147169446181822,0.9846671678161517,0.9875620875254288,0.6453285256270578,0.7941257264524364,1.176167751086402,0.7766803281965099,0.9503705120616803,0.9503705120616803,relative_step_s
